"BLOOD" "HIPPOC" "CORTEX" "HYPOTH" "SKM-GN" "SKM-VL" "HEART" "KIDNEY" "ADRNL" "COLON" "SPLEEN" "LUNG" "SMLINT" "LIVER" "WAT-SC"
"40" 0.494385 0.668057 0.508073 0.568431 0.477826 0.492312 0.561815 0.40672 0.584265 0.555696 0.605226 0.572463 0.549878 0.473406 0.452378
"41" 0.577143 0.423749 0.622917 0.44062 0.549273 0.549447 0.500643 0.525051 0.646173 0.513123 0.629518 0.628972 0.500328 0.461161 0.452844
"42" 0.530161 0.625156 0.595598 0.593134 0.546376 0.531264 0.578341 0.487217 0.587704 0.63493 0.668486 0.698183 0.662215 0.448095 0.462523
"43" 0.600499 0.544911 0.404995 0.506353 0.532819 0.58686 0.602444 0.455303 0.597887 0.528517 0.657108 0.591475 0.602952 0.481129 0.467105
"44" 0.582568 0.469145 0.385104 0.47369 0.562164 0.595296 0.633419 0.451383 0.605624 0.525729 0.655501 0.632534 0.561449 0.473163 0.472377
"45" 0.483367 0.509465 0.704992 0.431118 0.529756 0.47139 0.610676 0.498953 0.61962 0.56762 0.632214 0.672228 0.557707 0.517609 0.422523
"46" 0.502034 0.594541 0.677339 0.508247 0.488293 0.518307 0.554651 0.4485 0.630553 0.500242 0.669907 0.693778 0.536149 0.442677 0.446993
"47" 0.449477 0.566867 0.672794 0.401151 0.552996 0.590621 0.53162 0.474468 0.619791 0.499295 0.60672 0.598568 0.492013 0.468701 0.435362
"48" 0.549586 0.540533 0.446342 0.620118 0.456446 0.414062 0.484685 0.540176 0.568081 0.515522 0.590597 0.58765 0.644458 0.525654 0.456891
"49" 0.507306 0.608329 0.64719 0.454352 0.569361 0.538142 0.587459 0.481285 0.659265 0.525581 0.6661 0.641085 0.529102 0.512292 0.444247
"50" 0.485082 0.606993 0.626924 0.553641 0.559796 0.596626 0.571206 0.503856 0.637839 0.500709 0.600774 0.616201 0.549611 0.498237 0.462827
"51" 0.569126 0.630415 0.573736 0.501701 0.49225 0.434036 0.5114 0.453515 0.572024 0.564491 0.669125 0.683079 0.612685 0.462679 0.433941
"52" 0.581228 0.651212 0.594153 0.527456 0.577988 0.546684 0.555534 0.510276 0.63195 0.49581 0.6357 0.611632 0.501012 0.452701 0.440985
"53" 0.557393 0.630518 0.692589 0.509841 0.474665 0.550011 0.581071 0.546807 0.62087 0.4391 0.622381 0.667315 0.45335 0.42853 0.42818
"54" 0.552147 0.56827 0.608249 0.498568 0.530216 0.481008 0.544812 0.522009 0.61222 0.462519 0.680954 0.660091 0.625528 0.437299 0.436668
"55" 0.539558 0.566663 0.554815 0.50044 0.529818 0.499387 0.558739 0.503911 0.61655 0.436855 0.598395 0.629195 0.521154 0.479425 0.424076
"56" 0.450402 0.54867 0.674444 0.445139 0.495639 0.46306 0.593279 0.463425 0.638946 0.422643 0.624141 0.694109 0.473994 0.422454 0.419894
"57" 0.537555 0.630046 0.49492 0.669096 0.581645 0.620639 0.484013 0.475263 0.627257 0.631042 0.6184 0.583816 0.496704 0.562657 0.491091
"58" 0.540954 0.581302 0.493108 0.389917 0.611566 0.576085 0.505655 0.51225 0.600227 0.564462 0.658548 0.640736 0.604428 0.534829 0.458967
"59" 0.490573 0.548694 0.719267 0.299687 0.448171 0.491037 0.526801 0.430305 0.596566 0.537677 0.647575 0.731643 0.494182 0.464888 0.427648
"60" 0.660271 0.579186 0.547785 0.5895 0.578666 0.423943 0.52061 0.50327 0.565889 0.555311 0.677958 0.615869 0.526439 0.535239 0.475619
"61" 0.573724 0.74494 0.543663 0.553363 0.518015 0.356291 0.601062 0.456063 0.639666 0.531134 0.591962 0.643358 0.578161 0.431824 0.435829
"62" 0.509277 0.674507 0.714104 0.264333 0.513098 0.600794 0.463459 0.525938 0.624668 0.570009 0.699059 0.704924 0.657801 0.51804 0.455098
"63" 0.531619 0.846498 0.556073 0.700055 0.527757 0.437439 0.588767 0.450335 0.608922 0.51525 0.631162 0.638647 0.540343 0.457712 0.453347
"64" 0.485407 0.548036 0.696087 0.431452 0.540247 0.58073 0.50587 0.509548 0.616649 0.55499 0.660664 0.706336 0.717596 0.490224 0.437862
"65" 0.516602 0.638332 0.623742 0.534176 0.509998 0.485069 0.535401 0.449537 0.589636 0.478129 0.677891 0.615687 0.607116 0.464185 0.445894
"66" 0.459074 0.747774 0.466493 0.673111 0.47069 0.459654 0.535082 0.512274 0.608576 0.544386 0.604703 0.66446 0.693967 0.476801 0.422689
"67" 0.463303 0.495718 0.616181 0.425249 0.597644 0.585928 0.558662 0.438424 0.598481 0.513684 0.64652 0.664685 0.483658 0.480566 0.472606
"68" 0.506201 0.539338 0.579187 0.393624 0.55529 0.571434 0.553007 0.454117 0.580976 0.528358 0.685617 0.587235 0.443408 0.499957 0.458472
"69" 0.514357 0.524827 0.566314 0.397514 0.569761 0.582841 0.555364 0.441935 0.577794 0.540029 0.662103 0.600279 0.45569 0.51463 0.454675
"70" 0.492091 0.647376 0.517276 0.535004 0.478754 0.443422 0.513208 0.505213 0.584452 0.498383 0.543389 0.601053 0.595951 0.442365 0.4367
