Discovered in,Entrez,Symbol,Group,Model pvalue,AICc diff,Coefficients,R2(if applicable),subgroups
"acute,muscle",10276,NET1,training,0.000945424,-5.054086019,"b0:-0.058(0.29),trainingresistance:0.27(0.00095)",37.45544459,"acute,muscle,training,2"
"acute,muscle",10133,OPTN,time,9.36E-05,-5.690739646,"b0:-0.19(2.7e-05),time.L:-0.28(0.0022),time.Q:-0.18(0.0056)",54.73976511,"acute,muscle,time,2"
"acute,muscle",22921,MSRB2,time,1.47E-05,-6.275259209,"b0:-0.11(0.00034),time.L:-0.23(0.00014),time.Q:-0.11(0.009)",65.65069171,"acute,muscle,time,2"
"acute,muscle",54541,DDIT4,time;avg_age,2.06E-08,-17.63174793,"b0:1.6(0.0054),time.L:-1.6(4.8e-06),time.Q:1.3(3.2e-08),avg_age:-0.051(0.0038)",69.0663967,"acute,muscle,time;avg_age,1"
"acute,muscle",142891,SAMD8,training,4.17E-05,-6.157666003,"b0:0.031(0.47),trainingresistance:0.2(4.2e-05)",NA,"acute,muscle,training,2"
"acute,muscle",3434,IFIT1,training,0.000497834,-6.849675475,"b0:0.054(0.41),trainingresistance:-0.34(5e-04)",43.98807145,"acute,muscle,training,3"
"acute,muscle",143279,HECTD2,training;avg_age,3.97E-05,-7.994819752,"b0:-0.46(0.011),trainingresistance:0.37(5.7e-05),avg_age:0.017(0.0035)",57.45389392,"acute,muscle,training;avg_age,1"
"acute,muscle",414157,C10orf62,avg_age,2.43E-05,-11.05282879,"b0:-0.41(0.00016),avg_age:0.016(2.4e-05)",66.51902877,"acute,muscle,avg_age,1"
"acute,muscle",54838,WBP1L,training,0.000478345,-6.661221737,"b0:0.22(0.0021),trainingresistance:-0.41(0.00048)",47.93993385,"acute,muscle,training,4"
"acute,muscle",59338,PLEKHA1,training,0.000152267,-8.635087421,"b0:0.12(0.055),trainingresistance:0.38(0.00015)",42.30593456,"acute,muscle,training,2"
"acute,muscle",91734,IDI2,time,1.82E-05,-11.98127765,"b0:-0.16(0.0088),time.L:-0.45(2e-04),time.Q:-0.25(0.0052)",62.25537693,"acute,muscle,time,2"
"acute,muscle",3422,IDI1,time,0.000124155,-6.08401338,"b0:0.15(0.015),time.L:-0.32(0.0074),time.Q:-0.22(0.012)",52.30434874,"acute,muscle,time,3"
"acute,muscle",441549,CDNF,training,8.63E-08,-9.664199254,"b0:-0.039(0.53),trainingresistance:-0.31(8.6e-08)",NA,"acute,muscle,training,3"
"acute,muscle",22849,CPEB3,time,2.50E-08,-13.05444516,"b0:-0.18(1.2e-07),time.L:-0.3(9.6e-06),time.Q:-0.19(9.4e-05)",76.03020463,"acute,muscle,time,2"
"acute,muscle",64318,NOC3L,training,0.000125688,-7.658818997,"b0:-0.07(0.034),trainingresistance:0.18(0.00013)",68.38712739,"acute,muscle,training,2"
"acute,muscle",5832,ALDH18A1,time,6.39E-05,-6.041991872,"b0:0.15(1e-05),time.L:0.24(0.00047),time.Q:0.18(3.9e-05)",69.56969,"acute,muscle,time,1"
"acute,muscle",9679,FAM53B,time,7.27E-08,-8.541495951,"b0:-0.051(1e-04),time.L:-0.14(1.7e-07),time.Q:-0.082(5.1e-06)",99.89421876,"acute,muscle,time,2"
"acute,muscle",6288,SAA1,time,3.95E-06,-10.78743099,"b0:0.22(4.7e-09),time.L:0.38(8.8e-07),time.Q:0.18(0.00034)",99.99945355,"acute,muscle,time,1"
"acute,muscle",54503,ZDHHC13,training;avg_age,6.03E-06,-6.22481209,"b0:-0.75(1e-05),trainingresistance:0.43(0.0037),avg_age:0.022(0.00016)",NA,"acute,muscle,training;avg_age,1"
"acute,muscle",10553,HTATIP2,time,0.000395906,-5.363592425,"b0:0.12(0.016),time.L:0.29(0.0023),time.Q:0.12(0.077)",45.42272456,"acute,muscle,time,1"
"acute,muscle",203859,ANO5,training,0.000140822,-7.847922274,"b0:-0.0037(0.94),trainingresistance:-0.22(0.00014)",NA,"acute,muscle,training,3"
